"css-u1nut8 href","css-hqth87","css-q8j3hw","css-n4p85g","css-q8j3hw 2","css-q8j3hw 3","css-afgd57"
"https://www.madlan.co.il/listings/gB989uhWTlI","‏630 ‏₪","12 מ""ר","חניה, עוזיאל 7, יד לבנים","","",""
"https://www.madlan.co.il/listings/jWTjjrW3QRI","‏8,700 ‏₪","3 חד׳","דירה, הרואה 92, שכונת הלל","קומה 6","65 מ""ר",""
"https://www.madlan.co.il/listings/veu3xUkBO2g","‏6,990 ‏₪","3 חד׳","דירה, הרא""ה , שכונת הלל","קומה 2","68 מ""ר","תיווך"
"https://www.madlan.co.il/listings/TZbkJM8Ivcd","‏7,200 ‏₪","3 חד׳","דירה, שכונת הלל","קומה 4","80 מ""ר","תיווך"
"https://www.madlan.co.il/listings/mqatkAM2RW2","‏6,200 ‏₪","3 חד׳","דירה, השלם 8, רמת שקמה","קומה 1","85 מ""ר",""
"https://www.madlan.co.il/listings/751M6g7uBVD","‏8,000 ‏₪","3 חד׳","דירה, הרואה 94, שכונת הלל","קומה 12","82 מ""ר",""
"https://www.madlan.co.il/listings/relxUgwy0No","‏8,300 ‏₪","4 חד׳","דירה, נווה רם","קומה 1","106 מ""ר","תיווך"
"https://www.madlan.co.il/listings/9C7uxzszYVJ","‏7,200 ‏₪","3 חד׳","דירה, שכונת הלל","קומה 4","80 מ""ר","תיווך"
"https://www.madlan.co.il/listings/DvjqQyGinWC","‏6,500 ‏₪","2.5 חד׳","דירת גן, עזריאל 17, רמת שקמה","קומת קרקע","46 מ""ר",""
"https://www.madlan.co.il/listings/UDDtCBfxNg9","‏8,000 ‏₪","2.5 חד׳","דירת גן, שאנן 9, מרכז העיר ב'","קומת קרקע","60 מ""ר",""
"https://www.madlan.co.il/listings/KbKEaayhJkS","‏8,300 ‏₪","4 חד׳","דירה, יד לבנים","קומה 3","90 מ""ר","תיווך"
"https://www.madlan.co.il/listings/pWr2XaRJpkI","‏5,300 ‏₪","2 חד׳","דירה, ארלוזורוב 54, שכונת הראשונים","קומה 2","60 מ""ר","תיווך"
"https://www.madlan.co.il/listings/Y5gCVirQS5o","‏6,700 ‏₪","4 חד׳","דירה, בן גוריון 163, יד לבנים","קומה 3","100 מ""ר",""
"https://www.madlan.co.il/listings/2E9G5dEiCHr","‏500 ‏₪","4 חד׳","דירת נופש, מאיר בעל הנס 6, רמת יצחק","קומה 3","72 מ""ר",""
"https://www.madlan.co.il/listings/yQ1sNGqGfpz","‏5,500 ‏₪","3.5 חד׳","דירה, משמר הירדן , נווה רם","קומת קרקע","80 מ""ר","תיווך"
"https://www.madlan.co.il/listings/FJs4ZtBEml9","‏7,200 ‏₪","3 חד׳","דירה, הרא""ה , שכונת הלל","קומה 4","70 מ""ר","תיווך"
"https://www.madlan.co.il/listings/9SEouSRx288","‏7,000 ‏₪","3 חד׳","דירה, כנפי נשרים 27, תל יהודה","קומה 1","75 מ""ר",""
"https://www.madlan.co.il/listings/Lco4z8nWWMe","‏7,200 ‏₪","3 חד׳","דירה, הרא""ה 153, רמת יצחק","קומה 2","75 מ""ר",""
"https://www.madlan.co.il/listings/2XiaRc79nWc","‏7,000 ‏₪","3 חד׳","דירה, רוחמה , תל יהודה","קומה 4","70 מ""ר","תיווך"
"https://www.madlan.co.il/listings/2ooGFX4xuuE","‏7,200 ‏₪","5 חד׳","דירה, השר משה , מתחם נגבה","קומה 1","146 מ""ר","בבלעדיות"
"https://www.madlan.co.il/listings/HDFgPSeuSLY","‏6,600 ‏₪","4 חד׳","דירה, ירדן 103, נווה יהושע","קומה 6","92 מ""ר",""
"https://www.madlan.co.il/listings/RxCDOolDrU4","‏7,500 ‏₪","4 חד׳","דירה, הבילויים 40, הבילויים","קומה 2","106 מ""ר",""
"https://www.madlan.co.il/listings/RDFbpShavcx","‏8,900 ‏₪","5 חד׳","דו משפחתי, רמת חן","קומת קרקע","173 מ""ר","בבלעדיות"
"https://www.madlan.co.il/listings/k6uFH6tOQY9","‏8,300 ‏₪","4 חד׳","דירה, נווה רם","קומה 1","106 מ""ר","תיווך"
"https://www.madlan.co.il/listings/8tFokOxgtsj","‏4,900 ‏₪","2 חד׳","דירה, הזיתים 21, מרכז העיר ג'","קומה 1","60 מ""ר",""
"https://www.madlan.co.il/listings/D38d2hyJ5O5","‏5,750 ‏₪","3.5 חד׳","דירה, אלוף נחמיה תמרי 5, רמת יצחק","קומה 1","75 מ""ר",""
"https://www.madlan.co.il/listings/xapoJvZT1ks","‏8,500 ‏₪","5.5 חד׳","דירה, סמטת אלברט , נווה יהושע","קומה 3","120 מ""ר","תיווך"
"https://www.madlan.co.il/listings/AVJJcHZQbRx","‏4,000 ‏₪","3 חד׳","דירה, דרך נגבה , מתחם נגבה","קומה 3","90 מ""ר","תיווך"
"https://www.madlan.co.il/listings/UwnwO2jfttc","‏9,300 ‏₪","5 חד׳","דירה, הרא""ה 92, שכונת הלל","קומה 1","119 מ""ר",""
"https://www.madlan.co.il/listings/7kA6u2ozfhA","‏2,250 ‏₪","3 חד׳","דירה, שדרות ירושלים 1, יד לבנים","קומה 3","70 מ""ר",""
"https://www.madlan.co.il/listings/cGN5llCvCRH","‏6,300 ‏₪","4 חד׳","דירה, ביאלייק , מרכז העיר ב'","קומה 3","100 מ""ר","תיווך"
"https://www.madlan.co.il/listings/kRRoCTXPG4d","‏4,800 ‏₪","3 חד׳","דירה, ראש פינה , נווה רם","קומה 3","70 מ""ר","תיווך"
"https://www.madlan.co.il/listings/zkwTdQOngu0","‏6,900 ‏₪","4 חד׳","דירה, הרכסים 16, תל יהודה","קומת קרקע","85 מ""ר",""
"https://www.madlan.co.il/listings/hCflADxwknX","‏9,200 ‏₪","5 חד׳","דירה, הרא""ה 94, שכונת הלל","קומה 6","119 מ""ר",""
"https://www.madlan.co.il/listings/Fqj1b1p4J6m","‏4,350 ‏₪","3 חד׳","דירה, ראש פינה 15, נווה רם","קומה 1","60 מ""ר","תיווך"
"https://www.madlan.co.il/listings/CkHU9AurtTV","‏3,200 ‏₪","1.5 חד׳","דירה, הרא""ה 163, רמת יצחק","קומה 2","28 מ""ר","תיווך"
"https://www.madlan.co.il/listings/FGXKdzewgyM","‏4,000 ‏₪","2 חד׳","דירה, חיבת ציון 31, שכונת הלל","קומה 1","55 מ""ר",""
"https://www.madlan.co.il/listings/d7FqCKypJVs","‏7,000 ‏₪","5 חד׳","דירה, הכבאים 4, ערמונים","קומה 3","115 מ""ר",""
"https://www.madlan.co.il/listings/lctZOzdnQXA","‏9,500 ‏₪","5 חד׳","דירה, אבישי 7, תל יהודה","קומת קרקע","140 מ""ר","בבלעדיות"
"https://www.madlan.co.il/listings/99Y970OOxzn","","2 חד׳","דירה, המחתרת , רמת עמידר","קומה 1","40 מ""ר","תיווך"
"https://www.madlan.co.il/listings/mIkLHXy4ijU","‏6,900 ‏₪","3.5 חד׳","דירה, סמטת השילוח 4, יד לבנים","קומה 3","92 מ""ר",""
"https://www.madlan.co.il/listings/BgClhdpzEb8","‏8,100 ‏₪","4 חד׳","דירה, הרואה 90, שכונת הלל","קומה 7","90 מ""ר",""
"https://www.madlan.co.il/listings/ptnuuzJXuoW","‏16,000 ‏₪","5 חד׳","בית פרטי, יוסף צבי , תל גנים","קומת קרקע","160 מ""ר","תיווך"
"https://www.madlan.co.il/listings/BWLTw73RxNf","‏16,000 ‏₪","5 חד׳","בית פרטי, יוסף צבי , תל גנים","קומת קרקע","160 מ""ר","תיווך"
"https://www.madlan.co.il/listings/SUaKJK1NMsY","‏8,800 ‏₪","4 חד׳","דירה, תרצה 3, רמת יצחק","קומה 7","93 מ""ר",""
"https://www.madlan.co.il/listings/bro59v83d3o","‏6,200 ‏₪","3.5 חד׳","דירה, י""א באדר 14, מתחם נגבה","קומה 1","86 מ""ר",""
