City,Neighborhood,price,rooms,price_per_room,price_per_sqm,size_sqm
Tel Aviv,Florentin,11000.0,3.0,3666.67,164.18,66.99963454744793
Tel Aviv,Florentin,8950.0,3.0,2983.33,124.31,71.9974257903628
Tel Aviv,Florentin,15000.0,5.0,3000.0,125.0,120.0
Tel Aviv,Florentin,22000.0,5.0,4400.0,133.33,165.00412510312756
Tel Aviv,Florentin,7500.0,2.0,3750.0,159.57,47.00131603684903
Tel Aviv,Florentin,7700.0,3.0,2566.67,132.76,57.999397408858094
Tel Aviv,Florentin,6000.0,2.0,3000.0,150.0,40.0
Tel Aviv,Florentin,8250.0,3.0,2750.0,142.24,58.00056242969628
Tel Aviv,Florentin,6200.0,2.0,3100.0,155.0,40.0
Tel Aviv,Florentin,7800.0,3.0,2600.0,111.43,69.999102575608
Tel Aviv,Florentin,6500.0,2.5,2600.0,130.0,50.0
Tel Aviv,Florentin,7000.0,2.0,3500.0,155.56,44.99871432244793
Tel Aviv,Florentin,5290.0,1.5,3526.67,117.56,44.99829874106839
Tel Aviv,Florentin,7200.0,3.0,2400.0,90.0,80.0
Tel Aviv,Florentin,8000.0,4.0,2000.0,114.29,69.9973750984338
Tel Aviv,Florentin,7800.0,3.0,2600.0,86.67,89.99653859466943
Tel Aviv,Florentin,4500.0,2.0,2250.0,112.5,40.0
Tel Aviv,Florentin,7300.0,2.0,3650.0,119.67,61.0010863207153
Tel Aviv,Florentin,10450.0,3.0,3483.33,124.4,84.0032154340836
Tel Aviv,Florentin,12500.0,3.0,4166.67,143.68,86.99888641425389
Tel Aviv,Florentin,11200.0,3.0,3733.33,167.16,67.00167504187606
Tel Aviv,Florentin,7000.0,2.0,3500.0,148.94,46.99879145964818
Tel Aviv,Florentin,7500.0,3.0,2500.0,68.18,110.00293341155763
Tel Aviv,Florentin,7200.0,2.5,2880.0,124.14,57.999033349444176
Tel Aviv,Florentin,8250.0,3.0,2750.0,135.25,60.99815157116451
Tel Aviv,Florentin,18000.0,5.0,3600.0,146.34,123.00123001230013
Tel Aviv,Florentin,8900.0,4.0,2225.0,109.88,80.99745176556243
Tel Aviv,Florentin,6900.0,2.0,3450.0,130.19,52.99946232429526
Tel Aviv,South Florentin,5000.0,3.0,1666.67,76.92,65.00260010400416
Tel Aviv,Neve Shaanan,7000.0,2.0,3500.0,116.67,59.99828576326391
Tel Aviv,Neve Tzedek,11000.0,2.0,5500.0,183.33,60.001090928925976
Tel Aviv,Neve Tzedek,20000.0,3.0,6666.67,168.07,118.99803653239722
Tel Aviv,Neve Shaanan,4650.0,2.0,2325.0,116.25,40.0
Tel Aviv,Neve Shaanan,3950.0,1.5,2633.33,106.76,36.998875983514424
Tel Aviv,Noga,12500.0,3.0,4166.67,192.31,64.99922000935989
Tel Aviv,Neve Shaanan,6800.0,2.0,3400.0,109.68,61.99854121079504
Tel Aviv,Neve Shaanan,12500.0,3.0,4166.67,156.25,80.0
Tel Aviv,Neve Tzedek,13000.0,3.0,4333.33,125.0,104.0
Tel Aviv,Neve Tzedek,30000.0,5.0,6000.0,192.31,155.99812802246373
Tel Aviv,Neve Shaanan,4000.0,2.0,2000.0,100.0,40.0
Tel Aviv,South Rothschild,6000.0,3.0,2000.0,109.09,55.00045833715281
Tel Aviv,Neve Tzedek,16000.0,3.0,5333.33,219.18,72.99936125558901
Tel Aviv,Neve Tzedek,10000.0,2.0,5000.0,153.85,64.99837504062398
Tel Aviv,Old North Southwest,6200.0,2.0,3100.0,116.98,53.000512908189435
Tel Aviv,Old North Southwest,15000.0,3.0,5000.0,200.0,75.0
Tel Aviv,Lev Tel Aviv West,15000.0,3.0,5000.0,214.29,69.99860002799944
Tel Aviv,Old North Southwest,4800.0,1.5,3200.0,96.0,50.0
Tel Aviv,Old North Southwest,8000.0,3.0,2666.67,84.21,95.00059375371097
Tel Aviv,Old North Southwest,16900.0,5.0,3380.0,116.55,145.002145002145
Tel Aviv,Old North Southwest,14500.0,3.0,4833.33,207.14,70.00096553055904
Tel Aviv,Old North Southwest,13400.0,4.0,3350.0,163.41,82.00232543907961
Tel Aviv,Old North Southwest,16000.0,3.0,5333.33,160.0,100.0
Tel Aviv,Old North Southwest,7800.0,2.0,3900.0,162.5,48.0
Tel Aviv,Old North Southwest,8400.0,3.0,2800.0,93.33,90.00321440051431
Tel Aviv,Old North Southwest,14900.0,4.0,3725.0,135.45,110.00369139904025
Tel Aviv,Old North Southwest,8500.0,2.0,4250.0,130.77,64.99961764930794
